model,seed,corruption,severity,wer,cer,n_utts,wer_delta_vs_clean,cer_delta_vs_clean
whisper-small,23,speed,0.9,0.18236261155472053,0.06370163969563819,682,0.0034053546265852552,0.003172221626835274
whisper-small,23,speed,0.8,0.19304837952090184,0.07008895080913086,682,0.01409112259276657,0.00955953274032794
whisper-small,23,speed,1.1,0.17707844058243308,0.059414853713428355,682,-0.0018788163457021945,-0.0011145643553745616
whisper-small,23,pitch_semitones,-2.0,0.17942696101456082,0.06102239845675705,682,0.0004697040864255486,0.0004929803879541311
whisper-small,23,pitch_semitones,2.0,0.1835368717707844,0.06230843425142,682,0.004579614842649127,0.0017790161826170825
whisper-small,23,pitch_semitones,4.0,0.1843588539220291,0.06391597899474868,682,0.005401596993893837,0.0033865609259457682
whisper-small,23,reverb_decay,0.2,0.2709018318459371,0.12118743971707213,682,0.09194457491780181,0.060658021648269216
whisper-small,23,reverb_decay,0.5,0.5016439643024895,0.29979637766584505,682,0.32268670737435423,0.23926695959704214
whisper-small,23,reverb_decay,0.8,0.9550258337247534,0.7516664880505841,682,0.7760685767966181,0.6911370699817811
whisper-small,23,clipping_ratio,0.98,0.17895725692813527,0.060529418068802916,682,0.0,0.0
whisper-small,23,clipping_ratio,0.9,0.17895725692813527,0.060529418068802916,682,0.0,0.0
whisper-small,23,clipping_ratio,0.8,0.17895725692813527,0.060529418068802916,682,0.0,0.0
